Question;OptionA;OptionB;OptionC;OptionD;CorrectAnswer;Explanation
Which service enables you to continually assess the security posture, identify threats, and harden resources in Azure and on-premises workloads;Microsoft Defender for Cloud;Azure Firewall;Azure Web Application Firewall (WAF);Microsoft Purview;A;Microsoft Defender for Cloud enables you to continually assess the security posture, identify threats, and harden resources in Azure and on-premises workloads.
Which two industry frameworks are used in the Azure Security Benchmark;Center for Internet Security (CIS) and National Institute of Standards and Technology (NIST);Federal Information Processing Standard (FIPS) 140 and Open Web Application Security Project (OWASP);Center for Internet Security (CIS) and Federal Information Processing Standard (FIPS) 140;Open Web Application Security Project (OWASP) and National Institute of Standards and Technology (NIST);A;The two industry frameworks used in the Azure Security Benchmark are Center for Internet Security (CIS) and National Institute of Standards and Technology (NIST).
Which two characteristics are part of a security orchestration automated response (SOAR) solution;Action-driven workflows and issue mitigation;Collection of data from IT estate and correlation of data;Collection of data from IT estate and action-driven workflows;Correlation of data and issue mitigation;A;The two characteristics that are part of a security orchestration automated response (SOAR) solution are action-driven workflows and issue mitigation.
What can you use to aggregate security alerts into incidents and to create automated responses to security alerts;Microsoft Sentinel;Microsoft Defender for Cloud;Microsoft Intune;Microsoft 365 Defender;A;You can use Microsoft Sentinel to aggregate security alerts into incidents and to create automated responses to security alerts.
What can you use in Microsoft Sentinel to create visual reports;Workbooks;Analytics;Playbooks;Hunting;A;You can use workbooks in Microsoft Sentinel to create visual reports.
As more business data is being accessed from locations outside of the traditional corporate network, security and compliance have become overriding concerns. How can organizations protect their data when it’s accessed from both on-premises and the cloud?;Use encryption and data masking;Implement firewall rules and DDoS protection;Apply security policies based on defense in-depth principles;Control access through perimeter security only;A;Organizations can protect data by implementing encryption and data masking technologies across both cloud and on-premises environments. Encryption ensures that sensitive data remains confidential even if it is intercepted.
As more business data is being accessed from locations outside of the traditional corporate network, security and compliance have become overriding concerns. Which approach can ensure security even when employees work remotely?;Zero Trust model;On-premises access control;Perimeter defense only;VPN tunnels;A;The Zero Trust model assumes that every request, both within and outside the network, must be authenticated, authorized, and encrypted to ensure security. This approach is especially important as more employees work remotely or access data from outside the traditional corporate perimeter.
How do encryption and hashing contribute to data protection?;Encryption scrambles data for secure transmission, and hashing verifies data integrity;Hashing hides data content while encryption scrambles it for secure transmission;Both encryption and hashing encrypt data for storage;Hashing is used for encryption of sensitive passwords, while encryption scrambles full databases;A;Encryption transforms data into unreadable formats, securing it during transmission, while hashing produces a fixed-length representation of data used to verify its integrity without revealing its content.
Describe the shared responsibility and defense in-depth security models in cloud environments.;Cloud provider manages data security and compliance;Customer retains full responsibility for data;Responsibility is shared between the customer and cloud provider based on service model;Security is managed only by the cloud provider;C;In cloud environments, the shared responsibility model divides responsibilities between the cloud provider and the customer. For IaaS, PaaS, and SaaS, the customer always retains responsibility for data, identities, and devices.
How does the Zero-Trust model change traditional network security approaches?;By verifying every request, both inside and outside the network perimeter;By enhancing firewall rules for internal traffic;By ensuring a strong perimeter defense only;By using security zones within the network;A;The Zero-Trust model assumes that threats can come from both inside and outside the network. As a result, it requires continuous verification of every access request regardless of its origin.
What is the role of compliance frameworks in cloud security?;They ensure customers set up proper encryption rules;They guide organizations in meeting industry and regulatory requirements;They define the firewall and perimeter defense policies for cloud providers;They limit the cloud provider's security responsibilities to physical infrastructure;B;Compliance frameworks help organizations align with legal and regulatory standards, ensuring the protection and privacy of sensitive data, whether hosted on-premises or in the cloud.
In cloud environments, who retains full responsibility for protecting information and data?;The customer always retains full responsibility for information and data;The cloud provider retains full responsibility for all data management;Responsibility is shared depending on the service model;Data security is handled entirely by the service provider;A;In any cloud service model (SaaS, PaaS, or IaaS), the customer always retains full responsibility for securing their own information and data. This is a core tenet of the shared responsibility model.
How does defense in-depth ensure robust cloud security?;By layering multiple security defenses to protect systems and data;By focusing only on perimeter firewalls;By ensuring only physical security of cloud resources;By outsourcing security management to third-party providers;A;Defense in-depth is a multi-layered security strategy that uses a series of defenses, including network security, identity management, and data encryption, to protect data and systems from internal and external threats.
On-premises datacenters require organizations to manage which security aspects?;Everything from physical security to encrypting data;Only data encryption and identity management;Firewall rules and OS patching only;Only security of physical components;A;In on-premises datacenters, organizations must manage all aspects of security, from physical security measures to securing the network, operating systems, and data.
In a SaaS model, what is the customer responsible for managing?;Data, identities, devices, and some application settings;Network controls, operating systems, and data encryption;Operating systems and patch management;Physical security of datacenters;A;In the SaaS model, the customer is responsible for securing their data, identities, and devices. The cloud provider manages most other aspects, such as operating systems and infrastructure.
Which cloud model requires the customer to manage applications, data, and network controls but not the physical hardware?;Platform as a Service (PaaS);Infrastructure as a Service (IaaS);Software as a Service (SaaS);On-premises;B;In the IaaS model, customers manage the applications, data, and network controls, but the cloud provider manages the underlying physical infrastructure like servers and storage.
In the PaaS model, which responsibilities are retained by the cloud customer?;Management of applications and data;Management of physical infrastructure and security;Management of operating systems and network controls;Management of virtual machines and hypervisors;A;In the PaaS model, the cloud provider manages the infrastructure and operating systems, while the customer is responsible for managing their applications and data.
Which cloud service model requires the least management by the cloud customer?;Infrastructure as a Service (IaaS);Platform as a Service (PaaS);Software as a Service (SaaS);On-premises;C;SaaS requires the least management by the cloud customer since the cloud provider manages everything except data, devices, accounts, and identities.
An organization has deployed Microsoft 365 applications to all employees. Considering the shared responsibility model, who is responsible for the accounts and identities relating to these employees?;The organization.;Microsoft, the SaaS provider.;There's shared responsibility between an organization and Microsoft.;The CSP takes full responsibility;A;In the shared responsibility model, organizations always retain responsibility for managing their accounts, identities, and access controls, even when using SaaS services like Microsoft 365. Microsoft provides the underlying infrastructure, software, and platform security, but the customer is responsible for ensuring that accounts and user identities are secure. This includes tasks like enforcing password policies, configuring multifactor authentication, and monitoring for unusual login behaviors. Microsoft provides tools for identity protection, but the organization must implement and manage them. The customer’s responsibility extends to protecting data, devices, and user identities, ensuring secure access and permissions are correctly configured.
Which of the following measures might an organization implement as part of the defense in-depth security methodology?;Locating all its servers in a single physical location.;Multifactor authentication for all users.;Ensuring there's no segmentation of your corporate network.;Setup a single layer to bypass inbound requests;B;Defense in-depth is a layered security approach where multiple layers of defense are implemented to protect an organization's resources. One of the key layers of this methodology is identity security, where multifactor authentication (MFA) plays a critical role. By requiring multiple forms of verification before granting access, MFA makes it harder for unauthorized individuals to access systems, even if passwords are compromised. The other options provided—like having all servers in a single location or no network segmentation—would actually reduce security, making the organization more vulnerable to attacks. Proper segmentation and multiple defensive layers are essential to minimize vulnerabilities and limit the damage in case of a breach.
The human resources organization wants to ensure that stored employee data is encrypted. Which security mechanism would they use?;Hashing.;Encryption in transit.;Encryption at rest.;Deserialization;C;Encryption at rest refers to encrypting data while it's stored, such as on hard drives or in cloud storage. This is essential for protecting sensitive information like employee data from unauthorized access. Even if an attacker gains access to the physical storage or server, encryption at rest ensures that the data is unreadable without the correct encryption keys. In this case, the HR department would use encryption at rest to protect employee data. Hashing, on the other hand, is used for integrity verification rather than encryption, and encryption in transit protects data as it is being transferred over networks. Deserialization is unrelated to this context and refers to converting data formats.
Which of the following best describes the concept of data sovereignty?;There are regulations that govern the physical locations where data can be stored and how and when it can be transferred, processed, or accessed internationally.;Data, particularly personal data, is subject to the laws and regulations of the country/region in which it's physically collected, held, or processed.;Trust no one, verify everything.;Verify every single inbound and outbout request per port in the segmented network;B;Data sovereignty refers to the idea that data, especially personal data, is subject to the laws and regulations of the country or region in which it is stored, processed, or collected. This means that organizations must ensure compliance with local data protection laws when handling data in different jurisdictions. For example, the European Union’s General Data Protection Regulation (GDPR) imposes strict requirements on how personal data can be transferred across borders, stored, and accessed. Option A partially explains the concept, but option B is more precise in defining data sovereignty as being regulated by local laws. The other options (C and D) reference security models and network verification strategies, which are unrelated to data sovereignty.
Of the authentication methods listed below, Which one represents the most secure authentication method?;Windows Hello.;Passwords.;Short message service (SMS);Phone call;A;Of the methods listed below, Windows Hello, as a passwordless method of authentication, is the most secure.
Which of the following additional forms of verification can be used with Microsoft Entra multifactor authentication?;Microsoft Authenticator app, SMS, Voice call, FIDO2, and Windows Hello for Business;Security questions, SMS, Voice call, FIDO2, and Windows Hello for Business;Password spray, SMS, Voice call, FIDO2, and Windows Hello for Business;Password, smart card, SMS and Phone Call;A;Indeed, these specific combinarion are all valid forms of verification with multifactor authentication.
A company's IT organization has been asked to find ways to reduce IT costs, without compromising security. Which feature should they consider implementing?;Self-service password reset.;Biometric sign-in on all devices.;FIDO2.;Microsoft Authenticator Push Notification;A;Self-service password reset allows users to change or reset their own passwords, thereby reducing the cost of providing administrators and help desk personnel. In the other hand: FIDO2 may require the purchase of external keys such as a USB device, which might involve additional expense.
What is a benefit of single sign-on?;A central identity provider can be used.;The user signs in once and can then access many applications or resources.;Passwords always expire after 72 days.;Users must sign in multiple times for each application.;B;Single sign-on (SSO) allows a user to sign in once using a central identity provider and then access multiple applications or resources without needing to sign in again. This improves the user experience and reduces the number of passwords that need to be managed. Option D is incorrect because it contradicts the main advantage of SSO, which is reduced sign-ins.
Which relationship allows federated services to access resources?;Claim relationship.;Shared access relationship.;Trust relationship.;Identity federation relationship.;C;Federated services use a trust relationship to grant access to resources. This is a key concept in federated identity management, where two parties establish trust so that users from one organization can access resources in another organization seamlessly. Option D, "Identity federation relationship," sounds plausible but is incorrect terminology in this context.
Authentication is the process of doing what?;Verifying that a user or device is who they say they are.;The process of tracking user behavior.;Enabling federated services.;Managing device permissions across all networks.;A;Authentication is the process of verifying the identity of a user or device, ensuring they are who they claim to be. This is the first step in securing systems and services. Option D is incorrect because authentication is not about managing device permissions but about identity verification.
When browsing Microsoft compliance documentation in the Service Trust Portal, you have found several documents that are specific to your industry. What is the best way of ensuring you keep up to date with the latest updates?;Save the documents to your My Library.;Print each document so you can easily refer to them.;Download each document.;Bookmark the page.;A;Saving the document to the My Library section of the Service Trust Portal will ensure you have the latest updates. This feature allows you to access the most recent version of the document directly from the portal. Option D is incorrect because bookmarking the page does not automatically update the content.
Microsoft's approach to privacy is built on six principles: Three of the principles are strong legal protections for privacy, no content-based targeting, and benefits to customers from any data we collect. Identify the three other principles that are part of Microsoft's approach to privacy.;Customer control, transparency, and security.;Shared responsibility, transparency, and security.;Customer control, transparency, and zero trust.;Privacy assurance, security, and transparency.;A;Microsoft's approach to privacy is built on the principles of customer control, transparency, security, strong legal protections for privacy, no content-based targeting, and benefits to customers from any data we collect. Option D is incorrect because it includes "privacy assurance" which is not part of the six core principles.
A company needs to handle inquiries about personal data that they have collected, as per certain privacy regulations. Which Priva solution should they implement?;Priva Privacy Assessments;Priva Consent Management;Priva Subject Rights Requests;Priva Data Discovery;C;Priva Subject Rights Requests is the appropriate solution for handling inquiries related to personal data collected by a company. This feature helps organizations comply with privacy regulations. Option D, "Priva Data Discovery," is not related to handling personal data inquiries.
As part of a new data loss prevention policy, the compliance admin needs to be able to identify important information such as credit card numbers, across the organization's data. How can the admin address this requirement?;Use activity explorer.;Use sensitivity labels.;Use sensitive information types.;Use records management.;C;Microsoft provides built-in sensitive information types that you can use to identify critical data such as credit card numbers, social security numbers, and other sensitive information within an organization's environment. These sensitive information types use patterns and checksums to detect and categorize data for compliance purposes.
Within the organization, some emails are confidential and should be encrypted so that only authorized users can read them. How can this requirement be implemented?;Use the content explorer.;Use sensitivity labels.;Use records management.;Use data retention policies.;B;Sensitivity labels help ensure that only authorized users can access encrypted emails by setting encryption rules within the label. The encryption settings tied to sensitivity labels restrict access to the email, making sure only those with permissions can decrypt and read the content.
The compliance admin for the organization wants to explain the importance of insider risk management, to the business leaders. What use case would apply?;To identify and protect against risks like an employee sharing confidential information.;To identify and protect against malicious software across your network, such as ransomware.;To identify and protect against devices shutting down at critical moments.;To identify and protect against unauthorized cloud storage usage.;A;Insider risk management focuses on detecting and mitigating potential risks posed by employees or insiders who may intentionally or unintentionally compromise sensitive data. This could involve leaking confidential information, violating compliance policies, or bypassing security controls. The framework helps organizations prevent data breaches and internal threats.
Where should a group owner go to approve membership requests?;Through the Outlook client;The Access Panel;The Office 365 Admin portal;The Azure AD portal;B;The Access Panel is the correct place for group owners to approve membership requests. It is part of the Microsoft Identity Management solution that allows users to manage group memberships, access requests, and other identity-related tasks.
Which of the following is true about custom roles in Azure Active Directory?;You can assign custom permissions to roles.;You can only use roles that already exist.;You can create new permissions for roles.;You can create your own custom roles.;D;Azure Active Directory allows for the creation of custom roles. This enables administrators to assign specific permissions based on the organization's needs, enhancing flexibility in role management.
Which PowerShell module is primarily used for interacting with Azure Active Directory?;Azure Identity;AADRMS;AzureRM;Azure AD;D;Azure AD PowerShell module is designed specifically for interacting with Azure Active Directory. It allows administrators to manage users, groups, and other directory resources programmatically.
How do pre-integrated applications use Azure Active Directory?;They use Azure Active Directory for authentication.;They use Azure Active Directory to assign permissions.;They use Azure Active Directory for their directory.;They use Azure Active Directory to proxy requests to the local Active Directory.;A;Pre-integrated applications typically use Azure Active Directory for authentication purposes, ensuring that user identity is securely verified before access is granted.
How can Azure Identity Protection secure risky logins by users?;Place the user into a quarantine network.;Require the user to solve a Captcha challenge.;Require that the device is Azure AD joined.;Require MFA when a risky login is detected.;D;Azure Identity Protection helps to secure risky logins by requiring Multi-Factor Authentication (MFA) when a suspicious or risky login attempt is detected, adding an additional layer of security.
How do you control who can join devices to Azure Active Directory?;Using the Device Settings area in the Azure portal;Adding users to the Device Managers group;Using an MDM solution like Intune;;A;Device joining in Azure AD can be controlled using the Device Settings in the Azure portal, where administrators can manage which users have the ability to join devices to the directory.
What is the DNS suffix for the default domain in the tenant?;AzureAD.com;OnMicrosoft.com;Microsoft365.com;AzureDirectories.com;B;The default domain suffix for Azure AD tenants is OnMicrosoft.com, which is used when no custom domain has been configured for the organization.
How would you disable a device using PowerShell?;Remove-AzureADDevice -ObjectID (DeviceID);Disable-AzureADDevice -ObjectID (DeviceID);Set-AzureADDevice -AccountEnabled: $false -ObjectID (DeviceID);Set-AzureADDevice -DeviceEnabled: $false -ObjectID (DeviceID);C;The correct command to disable a device using PowerShell is Set-AzureADDevice -AccountEnabled: $false, which sets the device as disabled while retaining its record in the directory.
How can you determine which users are enabled for self-service password reset (SSPR)?;Select a group in the properties of Password reset.;Add users to the default SSPR security group to enable them.;Select a group in the MFA portal for self-service password reset.;Configure a self-service password reset policy in the Azure portal.;A;Self-service password reset (SSPR) can be managed by selecting groups in the properties of the Password Reset settings within Azure AD, where administrators can define which users or groups are enabled for SSPR.
Where should a group owner go to approve membership requests?;Through the Outlook client;The Access Panel;The Office 365 Admin portal;The Azure AD portal;B;The group owner can approve membership requests via the Access Panel, which provides a centralized place for managing identity and access.
Which of the following is true about custom roles in Azure Active Directory?;You can assign custom permissions to roles.;You can only use roles that already exist.;You can create new permissions for roles.;You can create your own custom roles.;D;In Azure Active Directory, custom roles can be created, allowing organizations to define permissions specific to their needs.
Which PowerShell module is primarily used for interacting with Azure Active Directory?;Azure Identity;AADRMS;AzureRM;Azure AD;D;The Azure AD PowerShell module is primarily used for managing Azure Active Directory, including users, groups, and applications.
How do pre-integrated applications use Azure Active Directory?;They use Azure Active Directory for authentication.;They use Azure Active Directory to assign permissions.;They use Azure Active Directory for their directory.;They use Azure Active Directory to proxy requests to the local Active Directory.;A;Pre-integrated applications use Azure AD for authentication, allowing them to rely on Azure AD for secure sign-in and access control.
How can Azure Identity Protection secure risky logins by users?;Place the user into a quarantine network.;Require the user to solve a Captcha challenge.;Require that the device is Azure AD joined.;Require MFA when a risky login is detected.;D;Azure Identity Protection can secure risky logins by requiring multi-factor authentication (MFA) when it detects unusual or potentially risky sign-in behavior.
How do you control who can join devices to Azure Active Directory?;Using the Device Settings area in the Azure portal;Adding users to the Device Managers group;Using an MDM solution like Intune;Enabling conditional access policies;A;The Device Settings in the Azure portal allow administrators to control who can join devices to Azure Active Directory.
What is the DNS suffix for the default domain in the tenant?;AzureAD.com;OnMicrosoft.com;Microsoft365.com;AzureDirectories.com;B;In Azure AD, the default domain for a tenant typically uses the 'onmicrosoft.com' suffix, allowing for the management of users and services.
How would you disable a device using PowerShell?;Remove-AzureADDevice -ObjectID (DeviceID);Disable-AzureADDevice -ObjectID (DeviceID);Set-AzureADDevice -AccountEnabled: $false -ObjectID (DeviceID);Set-AzureADDevice -DeviceEnabled: $false -ObjectID (DeviceID);C;The correct PowerShell command to disable a device in Azure AD is 'Set-AzureADDevice -AccountEnabled: $false -ObjectID (DeviceID)', which disables the device's account in Azure AD.
How can you determine which users are enabled for self-service password reset (SSPR)?;Select a group in the properties of Password reset.;Add users to the default SSPR security group to enable them.;Select a group in the MFA portal for self-service password reset.;Configure conditional access policies to allow SSPR.;A;In Azure AD, administrators can select which users or groups are enabled for SSPR through the Password Reset settings in the Azure portal.
What is the purpose of Conditional Access in Azure AD?;To allow users to reset their passwords.;To allow for the creation of custom policies.;To enforce access control based on specific conditions.;To set up multifactor authentication for all users.;C;Conditional Access policies allow administrators to enforce access controls based on user conditions, such as location, device, and risk.
Which of the following is an example of a privileged identity management role in Azure AD?;Global Administrator;User Administrator;Application Developer;Guest Inviter;A;Privileged Identity Management (PIM) can be used to assign roles such as Global Administrator temporarily or permanently for elevated access to resources.
What does Azure AD B2C allow you to manage?;Access to Microsoft services for your organization;Customer identities for external-facing applications;Authentication for on-premises applications;Federation with third-party identity providers;B;Azure AD B2C enables organizations to manage customer identities for external-facing applications, allowing users to sign in with social or local accounts.
How does Azure AD Premium P2 help with identity protection?;By allowing users to reset their passwords;By providing identity security reports;By using Conditional Access policies;By adding features like Privileged Identity Management and identity protection risk policies;D;Azure AD Premium P2 offers advanced identity protection features like Privileged Identity Management (PIM) and Conditional Access risk policies, helping secure identities.
What type of authentication does Azure AD support?;Single-factor authentication;Multifactor authentication;Certificate-based authentication;Password-less authentication;B;Azure AD supports multifactor authentication, allowing for stronger security by requiring multiple forms of verification for sign-ins.
Which of the following is a built-in identity governance feature in Azure AD?;Identity access review;Privileged role administration;Self-service group management;Conditional access policies;A;Identity access review is a governance feature in Azure AD that enables organizations to regularly review and confirm user access to resources.
How can you connect on-premises directories to Azure AD?;Using Azure Site Recovery;Using Azure AD Connect;Using Azure AD App Proxy;Using Azure Backup;B;Azure AD Connect synchronizes on-premises Active Directory with Azure AD, allowing for hybrid identity management.
What does the Just-In-Time (JIT) access model in Azure AD provide?;Immediate access for all users;Access based on job roles;Temporary, on-demand access to resources;Access based on multifactor authentication;C;Just-In-Time (JIT) access in Azure AD provides temporary access to resources, which can be granted on-demand for specific tasks or roles.
What is a key feature of Azure AD Identity Protection?;Detecting and mitigating risks related to user sign-ins;Managing cloud applications;Allowing single sign-on for applications;Providing self-service password reset for users;A;Azure AD Identity Protection helps detect and mitigate risks related to user sign-ins by identifying unusual or risky behaviors and prompting protective actions.
What is the purpose of Azure AD Application Proxy?;To secure email communications;To manage devices in Azure AD;To allow secure remote access to on-premises applications;To automate the deployment of virtual machines;C;Azure AD Application Proxy allows secure remote access to on-premises applications without requiring a VPN.
How can an organization implement password-less authentication in Azure AD?;Enable SSO for all applications;Configure multifactor authentication;Enable Windows Hello for Business or FIDO2 security keys;Require certificates for all users;C;Password-less authentication in Azure AD can be implemented using technologies like Windows Hello for Business or FIDO2 security keys, which eliminate the need for traditional passwords.
What feature in Azure AD helps enforce least-privilege access?;Self-service group management;Conditional access policies;Privileged Identity Management (PIM);Identity Protection;C;Privileged Identity Management (PIM) enforces least-privilege access by allowing temporary elevation of roles for privileged tasks, reducing continuous administrative access.
Which security protocol is commonly used for authentication in Azure AD?;HTTP;SAML;FTP;SNMP;B;SAML (Security Assertion Markup Language) is commonly used for authentication in Azure AD, enabling secure communication between identity providers and service providers.
What is the purpose of Azure AD entitlement management?;To manage software licenses;To govern access to applications and resources;To manage users' group memberships;To enforce multifactor authentication for external users;B;Azure AD entitlement management governs access to applications and resources by defining workflows for users, including self-service access requests.
How does Azure AD B2B enable collaboration?;By allowing guest users to access internal resources;By creating new Azure AD tenants;By providing dedicated storage for external users;By encrypting all communications between tenants;A;Azure AD B2B enables external users (guests) to collaborate with internal users by granting access to resources securely through Azure AD.
What does the Identity Protection feature in Azure AD offer?;Password resets for users;Protection against phishing attacks;Risk-based Conditional Access policies;Data encryption for Azure services;C;Azure AD Identity Protection offers risk-based Conditional Access policies, which evaluate user sign-in behavior and enforce actions based on the detected level of risk.
What is a benefit of using self-service password reset (SSPR) in Azure AD?;It reduces helpdesk calls by allowing users to reset their own passwords.;It requires users to reset their passwords every 30 days.;It increases the complexity of passwords.;It restricts password changes to administrators only.;A;Self-service password reset (SSPR) reduces the need for users to contact IT support by allowing them to reset their own passwords securely.
Which role in Azure AD is responsible for managing group settings?;Global Administrator;Group Administrator;User Administrator;Privileged Role Administrator;C;User Administrators in Azure AD have the ability to manage settings for users and groups, including creating, updating, and deleting group memberships.
What is the default method of authentication used in Azure AD?;Windows NTLM;OAuth;Kerberos;SAML;B;Azure AD uses OAuth as one of the default methods of authentication for web applications, providing secure access delegation.
How can you enforce multifactor authentication (MFA) for all users in Azure AD?;Create Conditional Access policies requiring MFA.;Enable password expiration policies.;Deploy an MDM solution.;Enable auditing in Azure AD.;A;Conditional Access policies can be created in Azure AD to enforce multifactor authentication (MFA) for all users, providing an additional layer of security for sign-ins.
What is the purpose of regulatory compliance?;Ensure business processes are secure;Store data;Manage workflows;Analyze data;A;Regulatory compliance ensures that a company's business processes are secure and meet the required standards.
What is GDPR?;General Data Protection Regulation;Global Data Protection Regulation;General Data Privacy Regulation;Global Data Privacy Regulation;A;GDPR stands for General Data Protection Regulation, which is a regulation in EU law on data protection and privacy.
What is the role of the Microsoft Service Trust Portal?;Find audit reports and security assessments;Store data;Manage workflows;Analyze data;A;The Microsoft Service Trust Portal is a single location where users can find audit reports, penetration tests, security assessments, and more information on how Microsoft manages security, privacy, and compliance.
What is the compliance score?;Measures progress towards completing recommended actions;Store data;Manage workflows;Analyze data;A;The compliance score measures progress towards completing recommended actions that help reduce risks around data protection and regulatory standards.
What are Microsoft's six key privacy principles?;Control, Strong legal protections, Transparency, No content-based targeting, Security, Benefits to you;Data storage, Workflow management, Data analysis, Project management;Data storage, Workflow management, Data analysis, Security;Control, Strong legal protections, Transparency, No content-based targeting, Data storage, Workflow management;A;Microsoft's six key privacy principles are Control, Strong legal protections, Transparency, No content-based targeting, Security, and Benefits to you.
What is Microsoft Priva?;A tool to safeguard personal data;A data analysis tool;A project management tool;A cloud storage service;A;Microsoft Priva helps companies safeguard personal data and build a privacy-resilient workplace by proactively identifying and protecting against privacy risks.
What are the two solutions offered by Microsoft Priva?;Privacy Risk Management and Subject Rights Requests;Data storage and Workflow management;Data analysis and Project management;Cloud storage and Data analysis;A;Microsoft Priva offers two solutions: Privacy Risk Management and Subject Rights Requests.
What is the purpose of Privacy Risk Management in Microsoft Priva?;Set up policies to identify privacy risks;Store data;Manage workflows;Analyze data;A;Privacy Risk Management in Microsoft Priva gives users the capability to set up policies that identify privacy risks in their Microsoft 365 environment and enable easy remediation.
What is the cost of Priva Privacy Risk Management?;5.00 user/month;10.00 user/month;15.00 user/month;20.00 user/month;A;Priva Privacy Risk Management costs $5.00 per user per month.
What is the purpose of Priva Subject Rights Requests?;Help respond to data subject inquiries;Store data;Manage workflows;Analyze data;A;Priva Subject Rights Requests is designed to help alleviate the complexity and length of time involved in responding to data subject inquiries.
What is Microsoft Purview?;A comprehensive set of solutions for data governance, protection, and management;A data storage service;A project management tool;A cloud storage service;A;Microsoft Purview is a comprehensive set of solutions that help organizations govern, protect, and manage data, wherever it lives.
What is the purpose of the Microsoft Purview compliance portal?;Central location for compliance tools and settings;Store data;Manage workflows;Analyze data;A;The Microsoft Purview compliance portal is a central location for all compliance tools and settings.
What is the compliance score in Microsoft Purview?;Measures progress towards completing recommended actions;Store data;Manage workflows;Analyze data;A;The compliance score measures progress towards completing recommended actions that help reduce risks around data protection and regulatory standards.
What are the three types of controls in Microsoft Purview Compliance Manager?;Microsoft-managed controls, Customer controls, Shared controls;Data storage, Workflow management, Data analysis;Data storage, Workflow management, Security;Microsoft-managed controls, Customer controls, Data storage;A;The three types of controls in Microsoft Purview Compliance Manager are Microsoft-managed controls, Customer controls, and Shared controls.
What is the role of Microsoft Purview Compliance Manager?;Manage compliance requirements;Store data;Manage workflows;Analyze data;A;Microsoft Purview Compliance Manager helps administrators manage compliance requirements by providing pre-built assessments, custom assessments, and step-by-step guidance.
What is Microsoft Purview Information Protection?;Discovers, classifies, and protects sensitive content;A data storage service;A project management tool;A cloud storage service;A;Microsoft Purview Information Protection discovers, classifies, and protects sensitive and business-critical content throughout its lifecycle across an organization.
What is the purpose of Microsoft Purview Data Lifecycle Management?;Manage content lifecycle;Store data;Manage workflows;Analyze data;A;Microsoft Purview Data Lifecycle Management manages the content lifecycle using solutions to import, store, and classify business-critical data.
